Run_No,M,t_val,num_layers,Best_Val_Acc,Timestamp
1,5,0.01,2,54.09%,22:32
2,5,0.01,4,50.31%,22:33
3,7,0.02,2,78.77%,22:33
4,7,0.01,4,54.94%,22:33
5,5,0.02,2,78.26%,22:34
6,9,0.03,4,89.29%,22:34
7,5,0.03,4,88.51%,22:35
8,7,0.02,4,78.15%,22:35
9,9,0.03,2,89.60%,22:36
10,9,0.02,4,78.33%,22:36
11,7,0.01,3,55.56%,22:37
12,9,0.01,4,51.51%,22:37
13,7,0.01,2,54.94%,22:38
14,9,0.01,3,54.13%,22:38
15,5,0.03,3,88.82%,22:39
1,7,0.04,3,94.69%,22:54
2,5,0.02,2,78.65%,22:54
3,9,0.04,3,94.21%,22:54
4,9,0.02,4,79.37%,22:55
5,7,0.02,2,80.00%,22:56
6,5,0.04,2,94.85%,22:56
7,5,0.03,4,90.67%,22:57
8,9,0.03,2,89.21%,22:57
9,5,0.04,3,93.18%,22:58
10,9,0.04,2,93.97%,22:58
11,7,0.02,4,79.57%,22:59
12,5,0.04,4,94.15%,22:59
13,5,0.03,2,89.04%,23:01
14,5,0.02,3,77.46%,23:01
15,7,0.03,3,89.57%,23:02
1,7,0.04,4,94.07%,23:15
2,5,0.02,2,79.09%,23:16
3,5,0.02,3,77.24%,23:16
4,5,0.03,4,88.64%,23:17
5,9,0.02,2,80.95%,23:17
6,5,0.03,3,87.85%,23:17
7,7,0.03,4,88.83%,23:18
8,9,0.02,4,78.89%,23:18
9,7,0.03,2,89.69%,23:19
10,9,0.04,2,95.00%,23:19
11,7,0.03,3,89.44%,23:19
12,7,0.02,2,80.25%,23:20
13,7,0.04,3,93.70%,23:20
14,5,0.03,2,90.40%,23:21
15,7,0.02,4,79.57%,23:22
